Salle,Film,Version,Relief,Payants,Gratuits,Places libres,Taux remplissage,date,time
SALLE 6,L'île De Black Mór,FR,2D,136.0,10.0,142.0,"50,69%",27/11/2018,09:45
SALLE 2,Diamant Noir,FR,2D,53.0,,91.0,"36,81%",27/11/2018,10:55
SALLE 2,"Sobibor, 14 Octobre 1943, 16 Heures",FR,2D,54.0,,90.0,"37,50%",27/11/2018,14:00
SALLE 1,Cold War,VO,2D,6.0,,87.0,"6,45%",27/11/2018,20:30
SALLE 2,Bohemian Rhapsody,VF,2D,64.0,,80.0,"44,44%",27/11/2018,20:30
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,25.0,,167.0,"13,02%",27/11/2018,20:30
SALLE 4,Casse-noisette Et Les Quatre Royaumes,VF,2D,38.0,,55.0,"40,86%",27/11/2018,20:30
SALLE 5,Lola Et Ses Frères,FR,2D,32.0,,82.0,"28,07%",27/11/2018,20:30
SALLE 6,Astérix - Le Secret De La Potion Magique,FR,2D,60.0,,228.0,"20,83%",27/11/2018,20:30
SALLE 1,Les Chatouilles,FR,2D,3.0,,90.0,"3,23%",28/11/2018,14:00
SALLE 2,Casse-noisette Et Les Quatre Royaumes,VF,2D,25.0,,119.0,"17,36%",28/11/2018,14:00
SALLE 3,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,9.0,1.0,182.0,"5,21%",28/11/2018,14:00
SALLE 4,Robin Des Bois,VF,2D,1.0,,92.0,"1,08%",28/11/2018,14:00
SALLE 5,Lola Et Ses Frères,FR,2D,7.0,,107.0,"6,14%",28/11/2018,14:00
SALLE 6,Le Grinch,VF,2D,57.0,,231.0,"19,79%",28/11/2018,14:00
SALLE 2,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,19.0,,125.0,"13,19%",28/11/2018,16:00
SALLE 6,Le Grinch,VF,2D,23.0,,265.0,"7,99%",28/11/2018,16:00
SALLE 1,Carmen Et Lola,VO,2D,3.0,,90.0,"3,23%",28/11/2018,16:10
SALLE 4,Le Grand Bain,FR,2D,4.0,,89.0,"4,30%",28/11/2018,16:10
SALLE 5,Un Homme Pressé,FR,2D,8.0,,106.0,"7,02%",28/11/2018,16:10
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,3.0,,189.0,"1,56%",28/11/2018,16:30
SALLE 6,A Star Is Born,VF,2D,16.0,,272.0,"5,56%",28/11/2018,18:00
SALLE 1,Un Amour Impossible,FR,2D,1.0,,92.0,"1,08%",28/11/2018,18:10
SALLE 2,Robin Des Bois,VF,2D,5.0,,139.0,"3,47%",28/11/2018,18:30
SALLE 3,Casse-noisette Et Les Quatre Royaumes,VF,2D,6.0,,186.0,"3,13%",28/11/2018,18:30
SALLE 4,Lola Et Ses Frères,FR,2D,11.0,,82.0,"11,83%",28/11/2018,18:30
SALLE 5,Le Grinch,VF,2D,11.0,,103.0,"9,65%",28/11/2018,18:30
SALLE 1,Les Chatouilles,FR,2D,10.0,,83.0,"10,75%",28/11/2018,21:00
SALLE 2,Robin Des Bois,VF,2D,2.0,,142.0,"1,39%",28/11/2018,21:00
SALLE 3,Bohemian Rhapsody,VF,2D,26.0,,166.0,"13,54%",28/11/2018,21:00
SALLE 4,Lola Et Ses Frères,FR,2D,5.0,,88.0,"5,38%",28/11/2018,21:00
SALLE 5,Le Grinch,VF,2D,,,114.0,,28/11/2018,21:00
SALLE 6,Les Animaux Fantastiques : Les Crimes De Gri,VF,2D,16.0,,272.0,"5,56%",28/11/2018,21:00
SALLE 5,Phantom Boy,FR,2D,,,114.0,,29/11/2018,11:00
SALLE 6,La Tête Haute,FR,2D,,,288.0,,29/11/2018,11:00
SALLE 3,L'île De Black Mór,FR,2D,,,192.0,,29/11/2018,11:05
SALLE 6,La Tête Haute,FR,2D,147.0,,141.0,"51,04%",29/11/2018,12:30
SALLE 3,L'île De Black Mór,FR,2D,148.0,10.0,34.0,"82,29%",29/11/2018,12:35
SALLE 5,Phantom Boy,FR,2D,88.0,,26.0,"77,19%",29/11/2018,12:35
SALLE 1,Kursk,VO,2D,,1.0,92.0,"1,08%",29/11/2018,14:00
SALLE 2,Le Grand Bain,FR,2D,2.0,,142.0,"1,39%",29/11/2018,14:00
SALLE 3,Un Homme Pressé,FR,2D,3.0,,189.0,"1,56%",29/11/2018,14:00
