#### EXPORT DONNEES METEO POUR "SAINT-CHAMOND" (LAT/LON: 45.47365/4.52541)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2016-01-01,7,4,13,3,7,5,0,97,5.75,1027,84,7,5,2,248,122,143,0,1,5.1,météo très défavorable
2016-01-02,9,4,15,7,9,4,2.2,88,9.875,1017,66.75,9,6,2,122,122,113,0,1,5.1,météo très défavorable
2016-01-03,6,4,18,1,6,4,0.1,89,10,1017,72.125,6,3,0,116,122,122,0,1,5.1,météo très défavorable
2016-01-04,4,2,12,1,4,2,0.7,84,8.625,1022,62.625,4,2,-1,119,119,119,0,1,6.9,météo très défavorable
2016-01-05,7,3,18,2,7,3,0.3,83,9.375,1017,75.25,7,1,0,119,122,122,0,1,6.9,météo très défavorable
2016-01-06,6,3,20,2,6,3,1.2,85,9.875,1006,71.5,6,2,-0,122,119,122,0,1,5.1,météo très défavorable
2016-01-07,10,5,31,3,10,7,2.7,93,8.875,1009,83.125,10,8,1,122,119,119,0,1,3.4,météo très défavorable
2016-01-08,11,6,21,5,11,9,1.1,84,9.125,1010,82.875,11,7,4,119,119,200,0,1,5.1,météo défavorable
2016-01-09,10,6,10,8,10,6,8.8,94,8.5,1005,62.25,10,8,4,143,116,116,0,1,6.9,météo défavorable
2016-01-10,9,6,22,5,8,6,2.6,91,9.75,1004,77,10,6,3,122,116,122,0,1,6.9,météo défavorable
2016-01-11,9,5,44,7,9,5,0,76,10,1005,41.25,9,6,-0,116,113,116,0,1,8.7,météo très défavorable
2016-01-12,7,4,32,4,7,4,0.2,76,10,1018,49.125,7,0,-1,113,122,116,0,1,5.2,météo très défavorable
2016-01-13,5,1,12,-0,5,1,0,71,10,1027,34.625,5,0,-1,113,116,122,0,1,8.7,météo très défavorable
2016-01-14,4,1,9,0,4,2,3.5,94,9.625,1021,74.5,5,3,-1,122,119,119,0,1,3.4,météo très défavorable
2016-01-15,2,-1,21,-0,2,-1,0.5,88,8.5,1023,64.25,2,0,-6,122,113,200,0.5,1,6.9,météo très défavorable
2016-01-16,0,-3,27,-2,0,-3,0.6,93,7.75,1029,72.875,0,0,-8,122,122,116,0.3,1,5.2,météo très défavorable
2016-01-17,1,-1,17,-2,1,-1,0.1,91,9.375,1030,91.375,1,0,-5,122,122,122,0.1,1,3.4,météo très défavorable
2016-01-18,3,-3,22,-3,3,-0,2.9,93,8,1023,90.25,3,0,-6,122,122,119,2.5,1,3.4,météo très défavorable
2016-01-19,4,1,11,-0,4,1,1.3,92,8.375,1016,90.875,4,2,-2,122,119,122,0,1,3.4,météo très défavorable
2016-01-20,4,1,8,1,4,1,0,98,6.5,1020,94.75,4,2,-1,143,122,248,0,1,3.4,météo très défavorable
2016-01-21,3,-3,9,-1,3,-3,0,92,6.5,1026,53,3,0,-3,122,119,113,0,1,5.2,météo très défavorable
2016-01-22,7,2,12,-1,7,4,1.9,87,8.875,1031,52.5,7,3,-2,119,113,122,0,1,7,météo très défavorable
2016-01-23,7,1,9,4,7,1,0,96,8,1035,61.125,7,5,1,122,116,143,0,1,7,météo très défavorable
2016-01-24,9,2,6,1,9,2,0,82,10,1036,16,10,2,1,116,113,113,0,1,8.7,météo très défavorable
2016-01-25,11,4,14,1,11,6,0,89,10,1033,5.125,11,6,1,113,113,113,0,1,8.7,météo très défavorable
2016-01-26,13,7,8,3,13,7,0,84,10,1032,8.875,13,7,6,113,113,113,0,1,8.7,météo correcte
2016-01-27,12,7,12,4,12,7,0,91,10,1030,9,12,7,4,113,113,113,0,1,8.7,météo défavorable
2016-01-28,12,7,14,5,12,9,0,92,10,1029,58.25,12,7,6,116,116,122,0,1,7,météo défavorable
2016-01-29,9,7,8,6,9,7,0.6,95,4.75,1033,91.625,9,6,7,143,122,143,0,1,3.5,météo défavorable
2016-01-30,11,5,25,2,11,6,0,79,9,1033,58.375,11,4,2,113,122,122,0,1,5.2,météo très défavorable
2016-01-31,10,8,18,8,10,10,2,91,8.875,1026,95.125,10,8,5,122,122,122,0,1,3.5,météo défavorable
2016-02-01,11,6,14,6,11,6,0,89,10,1031,47.5,11,8,5,116,122,113,0,1,7,météo défavorable
2016-02-02,12,6,5,4,11,6,0,91,10,1030,65.25,12,5,6,116,116,122,0,1,8.7,météo défavorable
2016-02-03,7,1,41,7,6,1,0.2,83,9.875,1033,74.625,7,5,-3,122,119,116,0,1,7,météo très défavorable
2016-02-04,5,3,17,1,5,4,0.3,83,9,1036,69.625,6,3,-1,122,116,122,0,1,7,météo très défavorable
2016-02-05,9,5,8,4,9,5,0,92,7.75,1033,54,10,5,4,248,116,113,0,1,7,météo très défavorable
2016-02-06,10,7,68,4,10,8,0,78,10,1025,12.25,10,4,3,113,113,113,0,1,8.7,météo défavorable
2016-02-07,9,3,22,8,5,3,11.1,90,8.125,1018,54.75,9,5,-0,119,122,113,0,1,5.4,météo très défavorable
2016-02-08,10,7,28,4,10,7,0,79,10,1018,52.125,10,4,3,122,116,116,0,1,8.7,météo défavorable
2016-02-09,10,6,43,7,10,6,0,80,10,1016,77.125,10,5,1,122,119,119,0,1,3.8,météo défavorable
2016-02-10,6,2,25,0,5,3,1.2,73,9.75,1010,46.625,6,0,-3,113,116,122,0,1,10,météo très défavorable
2016-02-11,5,1,13,-1,5,1,2.7,92,9.5,1012,65.25,5,1,-1,116,122,122,0.3,1,6.8,météo très défavorable
2016-02-12,6,1,33,0,5,3,4,91,9.375,1010,61.375,6,4,-4,122,122,119,0,1,8.4,météo très défavorable
2016-02-13,9,3,40,3,9,5,2.6,89,9.75,1000,58.75,9,5,-1,122,122,116,0,1,10,météo très défavorable
2016-02-14,7,3,24,5,7,3,1.4,92,8.5,1000,73.375,7,4,1,119,200,116,0,1,8.5,météo très défavorable
2016-02-15,2,0,37,1,1,-0,0.7,89,7.5,1021,97.125,2,1,-7,122,122,122,0,1,5.3,météo très défavorable
2016-02-16,2,0,31,-1,1,0,1,89,6.25,1028,100,2,0,-7,122,122,122,0.2,1,5.3,météo très défavorable
2016-02-17,4,-1,7,-1,2,-1,0.3,89,8.75,1025,63.625,4,0,-3,122,119,113,0.2,1,8.5,météo très défavorable
2016-02-18,6,2,18,-1,6,2,1.2,82,9.875,1019,80.875,6,1,-1,116,119,119,0,1,5.4,météo très défavorable
2016-02-19,5,-1,14,-1,5,-1,0,85,10,1029,45.625,5,0,-2,116,116,116,0,1,10,météo très défavorable
2016-02-20,10,4,15,-1,8,6,0,82,10,1030,56.75,10,4,1,116,122,119,0,1,6.9,météo très défavorable
2016-02-21,15,8,8,4,14,8,0,89,10,1029,25.875,15,8,8,116,113,113,0,1,10.8,météo correcte
2016-02-22,12,8,7,6,12,8,5.6,87,9.625,1021,47.875,12,7,7,113,116,122,0,1,8.5,météo défavorable
2016-02-23,10,7,21,6,9,7,1.5,90,9.875,1021,77.75,10,5,4,119,122,122,0,1,7,météo défavorable
2016-02-24,11,4,7,1,9,7,0.1,80,10,1021,80.125,11,4,2,119,122,122,0,1,5.5,météo très défavorable
2016-02-25,6,3,15,5,3,3,4.5,92,8.5,1016,87.75,6,4,-1,200,122,122,0,1,5.5,météo très défavorable
2016-02-26,4,0,10,-2,3,0,0,83,10,1016,26,4,0,-2,113,113,113,0,1,11,météo très défavorable
2016-02-27,6,3,11,-0,6,3,0,81,10,1003,43.375,6,0,0,116,119,116,0,1,10.1,météo très défavorable
2016-02-28,7,2,13,1,6,3,0.6,93,9,1007,71.5,7,3,-1,122,116,116,0,1,10.1,météo très défavorable
2016-02-29,3,0,35,-1,2,2,1,85,6.375,1021,100,3,0,-7,122,122,122,0,1,5.5,météo très défavorable
2016-03-01,7,1,18,-3,6,2,0,58,10,1025,48.375,7,0,-3,113,113,122,0,1,10.1,météo très défavorable
2016-03-02,10,3,37,4,10,3,1.2,85,9.375,1021,63.25,10,5,-1,122,116,116,0,1,11.1,météo très défavorable
2016-03-03,4,2,40,1,4,2,5.6,91,8.5,1014,89.75,4,2,-3,122,122,119,0,1,5.6,météo très défavorable
2016-03-04,8,5,35,1,8,5,1.2,91,9.875,1013,75.625,9,4,2,116,116,119,0,1,8.6,météo très défavorable
2016-03-05,7,2,30,2,7,2,10.9,83,8.375,1005,60.25,7,2,-2,122,116,116,0,1,11.2,météo très défavorable
2016-03-06,3,-1,27,1,3,-1,1,87,9.625,1009,61.25,3,0,-5,122,119,113,0.8,1,7.1,météo très défavorable
2016-03-07,5,0,13,-2,5,0,0.1,88,9.375,1011,73.5,5,0,-4,116,122,122,0.1,1,7.1,météo très défavorable
2016-03-08,3,0,27,-1,3,-0,0.3,85,9.625,1021,83.875,3,0,-5,122,122,122,0.2,1,5.7,météo très défavorable
2016-03-09,5,1,23,-2,5,1,1.8,88,9.75,1019,67.625,5,1,-4,122,122,119,0,1,7.2,météo très défavorable
2016-03-10,6,3,24,1,5,3,0.1,90,9,1019,74.75,6,2,-2,143,116,116,0,1,8.6,météo très défavorable
2016-03-11,7,4,28,-1,7,4,0.1,87,9,1023,58.875,7,2,-1,143,116,119,0,1,8.7,météo très défavorable
2016-03-12,5,3,22,0,5,4,0.1,83,10,1024,90.75,5,2,-2,122,122,122,0,1,5.7,météo très défavorable
2016-03-13,6,3,21,1,5,4,0.2,81,10,1023,91,6,2,-1,122,122,122,0,1,5.9,météo très défavorable
